,y,x,mass,size,ecc,signal,raw_mass,ep,x_orig,y_orig,Worm,Rep,RNAi,Genotype
267,156.3171604834497,442.83943544268527,919.1277733540047,7.797387219235309,0.08725464260183413,4.199562483520358,2385.0,0.02188020294164564,1110.9015230245475,392.88822791614405,9,1,L4440,JM149
271,128.10942302181456,447.4729483793378,529.0789974336276,6.58085820407266,0.18290662754570733,2.8491149398000863,1286.0,0.0519076620565856,1139.4869576044325,393.02543111498477,9,1,L4440,JM149
314,136.3965907203699,500.11505739403515,1031.659579039866,7.843720621942729,0.04418551198290467,3.9689982687388485,2227.0,0.02386495933218101,1139.586450201938,446.3157575467331,9,1,L4440,JM149
328,173.45737669650816,517.1569502894256,584.8425996657842,7.516024407094341,0.08532941854162847,2.058609060549195,1224.0,0.05626367684594406,1105.668956972291,468.976993692273,9,1,L4440,JM149
370,133.84810980865495,584.0866916395919,936.8153424022433,8.52495024845459,0.041246688722547144,2.519737490112215,1483.0,0.04165942725620144,1155.3164158638633,528.8402890092117,9,1,L4440,JM149
401,179.0253130406744,619.3304384016567,716.8735503731674,8.388935169005311,0.0542834020160787,2.190360040424344,1290.0,0.051649675465241955,1116.2477428840543,570.7537733465047,9,1,L4440,JM149
524,145.75804321895225,822.754646623511,514.2734810701578,8.418958061254383,0.10068425815394415,1.992733570611621,713.0,0.182467592453263,1181.110097031415,766.4090690748391,9,1,L4440,JM149
735,146.1442160650604,1130.863659278336,616.8745566479297,8.104988926756363,0.07798971518723127,1.877451463220866,1219.0,0.0566470427052239,1229.2107750220252,1070.7405291400805,9,1,L4440,JM149
127,222.02738187361524,1553.275893670515,3741.437083011584,6.4116161339585895,0.005814536684414993,30.67146068822587,11934.0,0.0037288544305792612,788.264868514113,256.9692663794766,8,1,L4440,JM149
132,207.44820955929754,1523.3811371100353,3056.8019683551856,7.305183361333837,0.14337437098681602,14.553908797158158,10826.0,0.004129398050439363,818.221767529708,271.4203195089321,8,1,L4440,JM149
153,225.24857556559914,1475.9149836171446,5145.949422056343,8.25610051185354,0.026972779375044397,15.756711177088585,16139.0,0.0027255318758648583,833.6287310380292,319.7164294229016,8,1,L4440,JM149
172,186.08261629374078,1403.512579660594,5366.5433785355835,7.948491642974507,0.10217747816242354,19.365118316879865,16565.0,0.002653208267344874,909.2102337673981,352.3280363986821,8,1,L4440,JM149
204,205.22607907932195,1340.7477968439,5104.091899234764,8.139391840946944,0.06663782771954962,19.004277602900736,15686.0,0.002806894208693689,933.0336985978555,413.46994226464005,8,1,L4440,JM149
244,188.04805283717724,1246.4902412771694,5773.571703904039,7.835821324617915,0.023765672680463864,22.8532452186781,19537.0,0.0022387557825469966,1004.8780233745131,476.85735713839296,8,1,L4440,JM149
260,178.3903083389731,1208.299519779506,3305.421220286805,8.217035239935836,0.023344979389910946,10.464380705394708,10251.0,0.004373178977920694,1036.106000509443,500.8702012299407,8,1,L4440,JM149
310,203.95798732283936,1101.551551775021,1141.0986178399955,8.644624029570506,0.09071533109097044,4.08952809176345,3052.0,0.01676343936619884,1082.1140508063665,600.5300938125856,8,1,L4440,JM149
326,165.10234845852358,1041.6966078014423,3050.186555265568,8.244037526477111,0.14808081850087135,9.622419039443411,8794.0,0.005142440394310731,1149.6838203399188,623.4800662486691,8,1,L4440,JM149
367,211.4426869082149,976.7077215597758,2465.5043183813877,8.246903403573844,0.11446386064317607,8.058775945533856,6794.0,0.006779402179717619,1153.526002536833,703.2059713142746,8,1,L4440,JM149
378,179.17944498250347,923.1963303012894,3677.5682766372784,7.692959051609889,0.126293386638438,14.433628559165117,10768.0,0.004152748662525963,1211.9913982011446,725.2555355682747,8,1,L4440,JM149
423,184.30073991635447,815.1874931648542,3086.030066187495,8.383421465388965,0.010586055914123229,9.502138801450368,9249.0,0.004874663450558486,1274.8369645710723,813.247417858674,8,1,L4440,JM149
430,223.35517721953204,837.7739211266844,3132.09739733883,8.39338577280842,0.0497396942262011,9.622419039443411,9046.0,0.0049906057249988235,1230.1837173579108,819.6881720430108,8,1,L4440,JM149
450,182.7816307044884,741.5004598273449,3153.386999463599,8.352982898442598,0.07852909215458413,9.381858563457325,9450.0,0.00476505192746659,1321.6490063699127,870.174733951253,8,1,L4440,JM149
469,230.26096669195886,727.7592567303973,2986.6785896052415,7.814953412441378,0.13222625146879818,10.584660943387751,8268.0,0.005491151961178464,1292.8696790302445,910.3600338286819,8,1,L4440,JM149
488,184.513523132229,650.6633041864213,2905.369148721945,8.226160490460963,0.0686833617079024,9.862979515429496,9067.0,0.00497835656143279,1376.5254812668184,942.5830262885531,8,1,L4440,JM149
517,231.13159700287474,623.9352368563427,2629.566563003898,8.019114252517658,0.06192103020946679,10.94550165736688,9103.0,0.0049574973029363175,1356.4625834781814,992.4339493184522,8,1,L4440,JM149
398,151.03465356124366,1000.7136626830941,1858.6861813684543,8.056580359238703,0.07270942874491947,6.64758611559538,5325.0,0.00907470654007128,722.1642350269657,683.3032642634118,4,1,L4440,JM149
401,148.67156623948426,798.1936807286593,1240.6717070979441,8.408867293400466,0.13713913065926966,4.748275796853843,3391.0,0.01515744796391264,924.6916142201054,684.9119748256506,4,1,L4440,JM149
405,165.2401420680626,1127.4883512893655,2177.2427287173823,8.137318615506373,0.1281075841730265,7.491724035036063,6881.0,0.0068598676955645066,595.1353591160221,695.0200155083842,4,1,L4440,JM149
407,156.09524219786363,677.9855619238654,949.0220559311881,8.661229713825822,0.058677338572187536,3.0599999579724764,2312.0,0.024211848028554278,1044.7310429175006,694.6914609739827,4,1,L4440,JM149
409,156.86031226982323,539.7546771722816,2251.9489345878824,7.428007011586843,0.06271246599504818,9.813103313497942,6844.0,0.0068999124146530404,1182.9203448599008,698.1670415143848,4,1,L4440,JM149
411,163.82866726458087,947.2657492699559,2195.813762945077,8.3939235704917,0.09632854521252707,8.441379194406831,6145.0,0.007755168563874207,775.3509851033157,697.1429120615089,4,1,L4440,JM149
416,176.00574663508394,1217.734384075267,1895.9337670637744,7.157273884434779,0.12399108968962298,8.441379194406831,6837.0,0.00690754109301973,504.6955699020481,704.013857969724,4,1,L4440,JM149
419,173.83294424847338,1070.0378102754403,1854.0434228115305,8.489261127636434,0.06084674769336202,5.908965436084783,5273.0,0.009173690362405302,652.4063513744238,704.7377497012122,4,1,L4440,JM149
420,167.32287503056284,574.1641355145155,1326.6682576409637,8.27810378689044,0.15106189884359345,4.853793036783928,4203.0,0.01182856584285151,1148.3123359580052,707.9528354410244,4,1,L4440,JM149
421,175.3946839324982,863.7816685059702,1045.359295987356,8.74636725408515,0.14203402465624415,3.3765516777627327,2506.0,0.021863641083020892,858.5922075300293,710.3437973150297,4,1,L4440,JM149
422,187.9991484319586,1267.5240148101072,1653.0330807447178,6.56070845582695,0.01709644268358647,8.757930914197088,6327.0,0.007512706789574412,454.68032682241795,715.0285969615728,4,1,L4440,JM149
427,183.82310180312948,741.969731394745,3417.597884095536,8.316980053713541,0.050065527691041584,9.918620553428028,9865.0,0.004672752881592403,980.2154435147735,721.1592824724444,4,1,L4440,JM149
428,177.95960415200307,454.67056329274646,4774.971658556155,7.503232606483112,0.17770777700622567,26.906896182171778,18288.0,0.002459393742550397,1267.5743486619672,720.9307449229885,4,1,L4440,JM149
429,191.3082442435316,1173.622529061534,2140.7337637015726,7.4609822352574,0.06448855387920936,8.652413674267002,6128.0,0.007778617697442988,548.4988663249211,720.1784305993691,4,1,L4440,JM149
434,187.415384691359,624.6597593290412,1960.932386860707,8.33861828397987,0.07366585763766263,6.225517155875038,5493.0,0.008769019438651502,1097.4324149806284,727.0512806715454,4,1,L4440,JM149
444,207.8553939778035,517.3639445322547,2385.3227258595107,7.746617701805379,0.09079094990356718,9.602068833637771,7092.0,0.006640103345300732,1204.3067769618685,749.5913916659295,4,1,L4440,JM149
395,118.93769352054585,439.5672422519423,2333.5909681751536,6.8936419386228875,0.08661502465961582,12.084101071526462,7418.0,0.006360425901200924,548.3789889313224,653.4587351932164,6,1,L4440,JM149
411,166.20397468523004,431.16006827530964,1982.698883310704,6.614378277661476,0.15302852849297502,11.328844754556057,6285.0,0.007606966507200611,511.9770684138351,684.7586088678958,6,1,L4440,JM149
428,121.8740149513851,529.5869885622991,2653.1399158853314,7.405531514224343,0.1379260518497924,11.102267859464936,7275.0,0.006494753018302291,616.2585897691366,712.6578610265024,6,1,L4440,JM149
443,158.57628233942773,513.3676026151721,2356.1731320525687,7.808903401700119,0.10729217835546284,8.912024540250766,6805.0,0.006979198449629655,580.4849184216431,730.833926339071,6,1,L4440,JM149
466,122.82605476177002,619.9494000083096,3087.940977565193,7.897562684507213,0.08442409667521966,12.688306125102784,8553.0,0.005463543889041847,685.658416083745,770.5364917086533,6,1,L4440,JM149
473,163.50458405434915,591.0189102117256,2293.7134346391163,8.2723102113693,0.06995788515467194,6.797306852733635,6430.0,0.007420838676570395,637.5233124794205,783.7549555482384,6,1,L4440,JM149
502,127.41217278100999,745.0334447605564,540.6879973191121,8.65627723871344,0.05875755701320788,1.8881407924260094,1134.0,0.06979415988134796,779.6583321692974,853.1867579270848,6,1,L4440,JM149
511,163.77161826537179,696.4499706249869,1282.953905637625,8.409057649019541,0.06038994095743138,3.8518072165490596,3125.0,0.016777968144039788,719.0296697474539,850.6316595043269,6,1,L4440,JM149
556,133.55786623348058,870.6613290833213,552.6210471272444,7.770382473754936,0.15092275430954002,1.8881407924260094,1195.0,0.06363367697633125,873.0933442667761,937.389093890939,6,1,L4440,JM149
592,149.20868086334315,949.8341217967004,710.6961942691499,8.421160281626378,0.07710645014012842,2.190243319214171,1304.0,0.05496455606331174,924.5299681190223,999.5787460148778,6,1,L4440,JM149
627,140.12809266286808,1071.0063875941155,1478.8673942597477,8.435578263788578,0.09778770431149277,6.042050535763231,4320.0,0.011523984179832341,1024.1417190133293,1069.1680710893213,6,1,L4440,JM149
652,163.56381411073153,1114.5012420295607,947.8466777978567,7.606204219548807,0.05423629791846183,4.153909743337221,2335.0,0.024016607412491797,1043.0165737051793,1114.8274103585657,6,1,L4440,JM149
667,150.85369419753158,1169.9091727903067,2076.7282947735193,7.576970446253401,0.09816263921585973,8.307819486674441,5664.0,0.008522440239552297,1093.9772338800597,1140.0186202131142,6,1,L4440,JM149
680,133.59644847900563,1216.0183299701741,1788.9001123760984,7.53258002842702,0.15374823077032154,7.174935011218836,4770.0,0.010308399477024097,1140.609727265051,1155.8071434602718,6,1,L4440,JM149
694,133.40265472427677,1275.7877191196194,3490.7191714055093,6.3973266366353965,0.09926454339013868,19.259036082745297,10171.0,0.0045490996599783845,1187.0343581643913,1193.4524762543542,6,1,L4440,JM149
703,155.62354654962314,1251.274376619801,1702.272212819593,7.858864186789478,0.14988741824721125,6.193101799157311,5241.0,0.00928345444070955,1153.992901193487,1195.1654021917566,6,1,L4440,JM149
712,140.8156920028474,1307.6027377533067,1962.6845909109884,7.181982132862438,0.059529557711629155,10.347011542494531,6320.0,0.007561189385408408,1206.9931119405858,1219.3135798668566,6,1,L4440,JM149
561,143.76472585306738,485.67967338567564,701.2548255998304,7.538604222126124,0.10312638045767739,2.8905804847478582,1466.0,0.03320235752934219,1348.7577525524764,749.8587735430275,5,1,L4440,JM149
578,148.6965401771531,579.2747906482607,788.683767646204,7.7536353415223,0.03854614255333831,2.7571690777594955,1274.0,0.040640711508882904,1259.7131096701437,779.1063433887792,5,1,L4440,JM149
581,167.82757382425848,508.4471961755887,550.0552310130194,7.495550732441323,0.08515351622776725,2.2679939188021656,1086.0,0.05206099904468484,1333.0789069447812,779.040181097906,5,1,L4440,JM149
597,193.99898181935782,498.8630493947785,661.8539900692673,7.346768339842123,0.04231673416406718,2.579287201775012,1159.0,0.046939264910058905,1349.1765101122085,801.7924477591883,5,1,L4440,JM149
608,194.25358041818754,574.1749472909347,718.5538380393215,7.711714524574174,0.09099665679587869,2.846110015751737,1550.0,0.03074080644506958,1276.5545240747617,821.7422329496225,5,1,L4440,JM149
633,199.70141192852043,662.6885656303085,438.07859008078697,7.770376006011191,0.05791182234124445,1.5564664148642313,950.0,0.06534424212836357,1192.5493858491523,850.1583595574053,5,1,L4440,JM149
652,200.76101289263443,761.5151926006746,581.3624411862885,7.803385967363722,0.010303004222193343,1.9567006358293195,1068.0,0.053500419190143596,1097.4423621204007,877.0373288457125,5,1,L4440,JM149
691,194.41337614992972,1005.0246356321494,752.8405696353307,8.196447956986226,0.030574177139809134,2.4458757947866494,1290.0,0.039895885585379695,860.7542087542088,934.6208281646879,5,1,L4440,JM149
706,201.18804577539504,1068.1455481560229,835.2888191541388,8.3234184748382,0.07553535053871939,3.424226112701309,1940.0,0.022869026702089516,801.6044295373476,957.6740137358249,5,1,L4440,JM149
721,166.33385928376424,1267.5703887082366,554.5467483816276,7.943838553893753,0.060856345441881385,2.0901120428176823,1310.0,0.039002385366604025,600.0070569366479,976.2099438652766,5,1,L4440,JM149
726,185.16963594819913,1213.6548033743288,535.6023285892801,7.386414324458604,0.24827146702425337,2.668228139767254,1214.0,0.04370014350942461,656.9726834938558,980.2835436731983,5,1,L4440,JM149
738,158.11782952285876,1365.8700666244824,1878.5215513341388,6.922270624234672,0.0770936263573243,8.849623330228058,5039.0,0.007535678383705897,502.98181904265897,993.9985085933431,5,1,L4440,JM149
739,175.62199349640196,1316.0921664234518,2409.365539740834,6.851123343277634,0.024035412616421854,11.339969594010828,6441.0,0.00578186399476226,555.6054929031544,997.8694328060687,5,1,L4440,JM149
382,226.84696804902592,1444.3688984630267,3299.5437008526424,6.296386050979725,0.037828434972224004,24.881964918451096,11197.0,0.0040014961307186315,596.8369658435605,662.0605352654147,3,1,L4440,JM149
393,224.37096170893983,1360.8366438518551,2706.962630461452,7.534428225152843,0.14306099543805093,10.928549297515776,8104.0,0.0056313055206158764,676.097397447913,688.5473650061278,3,1,L4440,JM149
