,y,x,mass,size,ecc,signal,raw_mass,ep,orig_x,orig_y,Worm,Rep,RNAi,Genotype
394,68.37412684233044,522.694133107143,1096.447632450365,7.503396336708118,0.05376492591923893,4.885650884518427,3612.0,0.007302661035682238,765.1036301201864,557.7405363420816,9,3,L4440_RNAi,JM259
415,74.16781525454752,549.7936226879237,978.2059165479832,7.243601180663947,0.1012202396796228,4.34778106236961,3352.0,0.007956161497844769,776.9155058651027,582.8090175953079,9,3,L4440_RNAi,JM259
416,105.2473662521952,526.0878615655033,943.2892005934891,7.119820980608537,0.11220716862982331,4.302958577190542,2939.0,0.009274517798424213,737.8271323354716,582.7834164884771,9,3,L4440_RNAi,JM259
435,72.9338724003718,595.5804437966332,828.4539935647165,7.392048029705498,0.018804013395309196,4.034023666116133,2308.0,0.012418476537133447,805.6414002055943,618.4850403073094,9,3,L4440_RNAi,JM259
444,108.53139750635148,585.8788909295354,1297.835058359918,7.294157352284263,0.037200840800901254,5.692455617741654,3689.0,0.007129239553328505,771.4447245726127,632.3375237437402,9,3,L4440_RNAi,JM259
463,79.32539873757923,662.3084748516285,1311.8644962209664,7.411278799046831,0.043828010212254014,5.55798816220445,3668.0,0.007175714130774566,840.9903990706574,675.440549405494,9,3,L4440_RNAi,JM259
484,110.77867142578981,681.2437240310446,1112.807839540725,7.606676128926102,0.08732852912191828,4.078846151295202,3025.0,0.008965177499342758,827.4428243444637,709.5626132839247,9,3,L4440_RNAi,JM259
508,77.46213982212907,758.3589356369448,1124.5065081724617,7.450404685283196,0.05664431918119743,4.437426032727746,3028.0,0.008954758599856411,900.6739078443877,750.7203045280612,9,3,L4440_RNAi,JM259
529,112.59741618031066,782.2847731447944,1273.406803937326,7.609649018432987,0.07443924494964756,4.84082839933936,3447.0,0.007704251465671849,887.2212953185498,791.0435058078142,9,3,L4440_RNAi,JM259
554,90.28650261406239,863.961442303796,587.0400883902555,7.904614792846504,0.056385171424108635,2.778994081102225,1202.0,0.030600249870219417,954.4613270214553,842.4986638161411,9,3,L4440_RNAi,JM259
605,79.73196365262385,966.9710933384156,1174.9766264840923,7.713377032436949,0.05667979892537281,4.4822485179068146,3433.0,0.007740368153979772,1025.2756923781185,918.0480659189745,9,3,L4440_RNAi,JM259
632,98.56336739259095,1004.8936555933483,1221.0989637333535,7.430619761945667,0.05188154281147872,5.244230765950973,3377.0,0.007888285839278843,1033.2741621700986,959.6265095620894,9,3,L4440_RNAi,JM259
667,68.98054462972101,1104.0483973336775,1867.215087589621,6.677775324022353,0.18352356153633945,11.429733720662377,6216.0,0.0040066387981942736,1116.88979307696,1020.5792164770272,9,3,L4440_RNAi,JM259
679,95.65040329315167,1112.4715644131657,1513.341567100878,7.424881741828287,0.22916767929531287,6.319970410248609,5314.0,0.0047491245167119184,1100.777715250422,1043.4403637117555,9,3,L4440_RNAi,JM259
704,90.79182259304136,1184.8253968026208,1557.0434901504693,7.156769964480216,0.10907727777210571,6.947485202755563,4526.0,0.005666488295265773,1148.4851747365997,1098.0542921296562,9,3,L4440_RNAi,JM259
718,66.5450853581163,1232.5006786663303,1727.7723361975397,6.7739078596384,0.126274255379347,9.502366857962446,4902.0,0.005188284073147129,1196.6622045814202,1121.2881158066775,9,3,L4440_RNAi,JM259
742,88.05466319379084,1271.1709346383145,1221.4575436147861,6.917546225491101,0.20050080314097501,6.095857984353268,3513.0,0.00753842911810867,1202.983229973212,1165.0841803970497,9,3,L4440_RNAi,JM259
746,65.91135520921353,1294.0065286308393,1434.7677505819713,6.785364738385639,0.14584669288530636,7.48535502490438,3921.0,0.006653193298731346,1234.4354889097158,1169.832427366448,9,3,L4440_RNAi,JM259
346,82.58971661278929,533.963226610955,576.5060077292713,7.265631837376743,0.08504961738269584,2.4096384858067768,1475.0,0.021652291861280124,870.4293867052488,507.65332368780645,6,3,L4440_RNAi,JM259
354,124.20196361004116,532.1158168665258,1484.2909680553244,7.833493249918519,0.05196516118474196,5.189990584814596,4649.0,0.0053192525386432255,830.8635228372514,520.6738628203927,6,3,L4440_RNAi,JM259
376,85.74543224662773,594.563610204308,1162.6273998009447,7.202833241993816,0.04175873731428052,5.02780337903914,3372.0,0.007637029013360391,888.9562366727117,565.4384503477551,6,3,L4440_RNAi,JM259
384,118.99765516874618,591.5860337967729,1102.618133664026,7.381334802682312,0.016536871461725552,4.494902560062641,3061.0,0.008543668948350428,856.8071823320515,574.4392611738007,6,3,L4440_RNAi,JM259
422,78.89067033643028,680.553352386549,1447.2659459368701,7.332204475063373,0.0983972143538983,5.908248210391616,4054.0,0.00619531852378711,925.8421490778688,643.4169921875,6,3,L4440_RNAi,JM259
430,115.99693349089921,674.3022967558364,532.9934973797989,7.655636073721813,0.08457772338414317,2.3864688849817117,1225.0,0.02855944841917486,888.9290558163798,650.7227438706312,6,3,L4440_RNAi,JM259
473,100.73740748254352,764.3128213628144,603.8229671020232,7.639502395675777,0.11534554415199955,2.6181648932323633,1742.0,0.017207605032158176,935.0991903610759,729.4822915467557,6,3,L4440_RNAi,JM259
476,69.44997210507256,769.0533619418592,1467.7710426670528,7.535140280210276,0.06381719269953465,5.7228914037910945,4204.0,0.005948341585618666,966.035817455682,722.8263587428373,6,3,L4440_RNAi,JM259
564,98.12342618300227,890.7480957544625,839.7590123036616,8.134910822298263,0.016663565958685563,2.9888785064334056,2004.0,0.014322585558968879,982.3541275797373,846.7839642423573,6,3,L4440_RNAi,JM259
599,83.16414486572023,978.293152563277,972.2659594222093,7.767515336163395,0.11612576721239816,4.077849745211468,2523.0,0.010751727205697361,1027.3697066463312,923.3444939589639,6,3,L4440_RNAi,JM259
639,106.63536436118284,1024.974732863192,1393.5819808251943,7.610064363827271,0.0670695246657271,5.213160185639661,3667.0,0.0069385976046231895,1021.9667315078059,975.3144462732971,6,3,L4440_RNAi,JM259
667,80.62749648587919,1084.5565632896964,672.5440031491664,7.880205152026169,0.10049034151330187,2.316960082506516,1517.0,0.020806884878942576,1067.403107451683,1021.8111069004719,6,3,L4440_RNAi,JM259
710,102.48510091028822,1146.4033732489486,1021.0843083606217,7.811905525374226,0.10761134893293468,3.776644934485621,2375.0,0.01157463843568345,1068.8837985023827,1087.389993192648,6,3,L4440_RNAi,JM259
753,79.60114690958403,1213.3914825093452,865.1992340095832,7.337973644795865,0.08344696949292162,3.4986097245848393,1891.0,0.015438997765546749,1114.0239408708692,1141.9193401531788,6,3,L4440_RNAi,JM259
779,100.88854789847892,1256.699518946689,790.4772713487481,7.304214875213038,0.09534089577866142,3.2437441155091227,1779.0,0.016731649355597907,1109.4673916229447,1189.9607527039307,6,3,L4440_RNAi,JM259
801,76.24847106466598,1303.767628314859,696.2928439948582,7.338713444963363,0.20369014042890582,3.1510657122088617,1314.0,0.025646856940301867,1149.1897045121789,1225.2407493677626,6,3,L4440_RNAi,JM259
824,98.03097197324155,1325.2288103071853,635.7275074381379,6.877787290577729,0.14225104316716108,3.1047265105587316,1161.0,0.03109915778440062,1136.427327064655,1253.0289015234346,6,3,L4440_RNAi,JM259
314,85.56620882271665,528.073016319901,2309.582801213484,6.617379723936585,0.1306220861854058,12.88857893225601,7202.0,0.0032390513102996525,923.0505744611007,481.8383630594157,3,3,L4440_RNAi,JM259
334,124.07082573842229,549.8164249203173,1127.7253848490043,7.6416262285117185,0.07513607459432509,4.751083998557117,3486.0,0.007195252063062719,903.4518644675511,521.4776353531731,3,3,L4440_RNAi,JM259
342,89.9997870526966,586.9152771541362,799.4962413742179,7.478062492183107,0.09378686781182019,2.982063360796489,2130.0,0.012980834607320427,952.4915918573777,532.9783158427108,3,3,L4440_RNAi,JM259
368,126.57984639116353,616.6282899374872,761.0326783646225,7.2210103151457865,0.16671647934533526,3.8413019562802226,1927.0,0.01475724226598398,938.9678554824999,578.1233313409045,3,3,L4440_RNAi,JM259
384,96.84908736955953,681.6552431161662,832.3494817897724,7.232795790884422,0.14492764449043471,4.245649530625509,1862.0,0.01543351550424877,1000.1325601165897,615.1544206946805,3,3,L4440_RNAi,JM259
404,133.77171350535662,700.5973991838529,630.3778684043018,7.087049233476263,0.09913101981276148,3.5380412755212576,1528.0,0.020187140391241747,980.2656350224503,651.5877966645286,3,3,L4440_RNAi,JM259
449,145.1381705551118,786.3215288646774,672.9859940509364,7.033533754164587,0.20589642840143607,3.487497828728097,1350.0,0.024151550755393936,1019.0996620352985,728.8518963574916,3,3,L4440_RNAi,JM259
462,115.04992360520583,835.4210776137037,677.7370780494934,6.542010160103275,0.19223963214618633,3.7402150626939012,1616.0,0.018671889592399273,1071.598702364084,752.5145051830859,3,3,L4440_RNAi,JM259
498,152.66661558050458,890.2129011772703,592.0153922882928,6.588741046680316,0.11135225361757821,4.094019190246027,1487.0,0.020980392137241635,1071.3280116110304,818.9756680611287,3,3,L4440_RNAi,JM259
523,150.61972433403838,933.3293364817488,656.6604607367454,7.370401212919746,0.10954902742779281,2.577715786451202,1575.0,0.019348531531586798,1097.2787099753696,853.4688269704434,3,3,L4440_RNAi,JM259
587,151.12935408380224,1052.374259475815,726.5115042048936,7.636768359233466,0.04645139314354622,3.133693701175971,1236.0,0.027626189289651975,1163.8353972450257,952.1712119103938,3,3,L4440_RNAi,JM259
620,168.03834942203412,1110.858335197724,802.6299350753939,6.886050770514678,0.03934555295850831,3.8413019562802226,1834.0,0.01574431874814957,1182.7613350125944,1010.0340680100755,3,3,L4440_RNAi,JM259
659,171.27922381929517,1178.3594412981975,583.8273539078007,7.827948171379466,0.0802901302839681,2.2744551056922373,1377.0,0.023452925025168384,1218.0600813782357,1067.6613280235476,3,3,L4440_RNAi,JM259
674,168.7086515309419,1221.7588683854829,827.6489412380085,7.666706051453213,0.044929749925002524,3.133693701175971,2070.0,0.013459716658770018,1244.60293129771,1102.0938015267175,3,3,L4440_RNAi,JM259
680,139.877404246879,1264.4806989993658,791.3082029937259,7.394579316655661,0.09769733359906861,3.3358674883486144,1904.0,0.014989656922218987,1292.4745145631068,1121.1911088400614,3,3,L4440_RNAi,JM259
705,167.03673659039907,1299.5553802175818,711.2473832733591,6.601467828234009,0.1001263387353764,3.992932296659705,1727.0,0.01705696657904947,1289.7556139852188,1165.4683058555997,3,3,L4440_RNAi,JM259
727,154.67003039096141,1350.3666672047634,1401.5697795743497,7.179909462647417,0.08459585268818468,6.72227842349039,5083.0,0.004718458374211808,1328.5671474936892,1200.516660656329,3,3,L4440_RNAi,JM259
